date,raise,drop
2017-01-15,1500,2000
2017-01-16,1521,1739
2017-01-17,0,0
2017-01-18,2746,2253
2017-01-19,1056,1549
2017-01-20,3732,2323
2017-01-21,2394,2253
2017-01-22,1690,1971
2017-01-23,1489,1631
2017-01-24,1183,1155
2017-01-25,557,528
2017-01-26,482,396
2017-01-27,494,281
2017-01-28,201,126
2017-01-29,114,80
2017-01-30,91,68
2017-01-31,63,63
2017-02-01,160,132
2017-02-02,235,143
2017-02-03,235,178
2017-02-04,839,764
2017-02-05,2068,1545
2017-02-06,1919,1637
2017-02-07,1925,1626
2017-02-08,1850,1649
2017-02-09,2000,1833
2017-02-10,2278,1980
2017-02-11,2382,2396
2017-02-12,1169,1055
2017-02-13,1674,1691
2017-02-14,1938,1886
2017-02-15,2223,1673
2017-02-16,1994,1690
2017-02-17,1856,1936
2017-02-18,1822,2057
2017-02-19,1800,1561
2017-02-20,2252,2177
2017-02-21,1891,1873
2017-02-22,1977,1667
2017-02-23,2593,2495
2017-02-24,1816,1879
2017-02-25,1942,2034
2017-02-26,1869,1938
2017-02-27,1736,1851
2017-02-28,1604,1358
2017-03-01,2901,2391
2017-03-02,2075,2018
2017-03-03,2580,2173
2017-03-04,2197,2019
2017-03-05,2127,1932
2017-03-06,1794,1582
2017-03-07,2795,2520
2017-03-08,1806,1559
2017-03-09,3033,2901
2017-03-10,1760,1829
2017-03-11,2748,2415
2017-03-12,3121,2851
2017-03-13,1261,1467
2017-03-14,2254,2392
2017-03-15,2848,1982
2017-03-16,2517,2545
2017-03-17,2641,2567
2017-03-18,3170,3079
2017-03-19,2212,1942
2017-03-20,2395,2189
2017-03-21,2280,1690
2017-03-22,2229,1977
2017-03-23,1862,1856
2017-03-24,3027,2958
2017-03-25,1140,1169
2017-03-26,2212,2292
2017-03-27,1684,1902
2017-03-28,1616,1507
2017-03-29,3077,2441
2017-03-30,1656,1656
2017-03-31,3071,3260
2017-04-01,1880,1974
2017-04-02,2141,2008
2017-04-03,1855,1927
2017-04-04,1740,1710
2017-04-05,1734,1608
2017-04-06,1838,1965
2017-04-07,2049,1965
2017-04-08,2279,2376
2017-04-09,1809,1706
2017-04-10,2110,2147
2017-04-11,1447,1531
2017-05-02,5487,4439
2017-05-03,1427,1753
2017-05-04,1765,2277
2017-05-05,1463,1759
2017-05-06,1705,2634
2017-05-07,1867,2463
2017-05-08,1704,2246
2017-05-09,1874,2501
2017-05-10,1338,1374
2017-05-11,2200,2188
2017-05-12,2224,3050
2017-05-13,2048,2686
2017-05-14,1462,2059
2017-05-15,1155,1776
