date,raise,drop
2017-01-15,4669,3726
2017-01-16,5093,3644
2017-01-17,0,46
2017-01-18,4604,3906
2017-01-19,2336,2429
2017-01-20,4272,4178
2017-01-21,3831,3598
2017-01-22,3349,2500
2017-01-23,4028,1990
2017-01-24,3474,5258
2017-01-25,3849,3098
2017-01-26,3239,3568
2017-01-27,3661,2629
2017-01-28,2582,1643
2017-01-29,1924,1032
2017-01-30,2065,892
2017-01-31,1502,985
2017-02-01,1877,1408
2017-02-02,2009,2429
2017-02-03,2803,1822
2017-02-04,2757,2009
2017-02-05,4952,3726
2017-02-06,5305,3286
2017-02-07,4507,3943
2017-02-08,4600,3849
2017-02-09,4413,4366
2017-02-10,4532,4579
2017-02-11,5730,4210
2017-02-12,896,613
2017-02-13,4600,4131
2017-02-14,4669,4339
2017-02-15,5164,3615
2017-02-16,5518,3490
2017-02-17,4575,4433
2017-02-18,5238,3857
2017-02-19,5217,4347
2017-02-20,5377,3726
2017-02-21,5047,3679
2017-02-22,4245,4716
2017-02-23,4575,4198
2017-02-24,4788,4413
2017-02-25,4413,4413
2017-02-26,4929,3802
2017-02-27,4882,3943
2017-02-28,4553,4366
2017-03-01,5070,4084
2017-03-02,5164,3755
2017-03-03,5280,3504
2017-03-04,4788,4225
2017-03-05,5117,3849
2017-03-06,4929,3802
2017-03-07,5539,3286
2017-03-08,4835,3943
2017-03-09,4788,4084
2017-03-10,4413,4600
2017-03-11,5071,3981
2017-03-12,5047,3962
2017-03-13,4858,4056
2017-03-14,4691,4075
2017-03-15,5165,3838
2017-03-16,4976,4123
2017-03-17,5000,4386
2017-03-18,5666,3476
2017-03-19,4502,4644
2017-03-20,4976,3981
2017-03-21,4904,4095
2017-03-22,5213,3933
2017-03-23,5141,4009
2017-03-24,5308,3791
2017-03-25,4906,4299
2017-03-26,5046,3831
2017-03-27,5046,3925
2017-03-28,5849,3160
2017-03-29,5302,3395
2017-03-30,4906,4065
2017-03-31,5070,3802
2017-04-01,4622,4339
2017-05-02,0,10000
2017-05-03,0,0
2017-05-04,0,0
2017-05-05,0,0
2017-05-06,0,0
2017-05-07,0,0
2017-05-08,0,0
2017-05-09,0,0
2017-05-10,0,0
2017-05-11,0,0
2017-05-12,0,0
2017-05-13,0,0
2017-05-14,0,0
2017-05-15,0,0
2017-05-16,0,0
2017-05-17,0,0
2017-05-18,0,0
2017-05-19,0,0
2017-05-20,0,0
2017-05-21,0,0
2017-05-22,0,0
2017-05-23,0,0
2017-05-24,0,0
2017-05-25,0,0
2017-05-26,0,0
2017-05-27,0,0
2017-05-28,0,0
2017-05-29,0,0
2017-05-30,0,0
2017-05-31,0,0
2017-06-01,0,0
2017-06-02,0,0
2017-06-03,0,0
2017-06-04,0,0
