date,raise,drop
2017-01-15,82,131
2017-01-16,0,0
2017-01-17,8,33
2017-01-18,28,60
2017-01-19,23,51
2017-01-20,24,53
2017-01-21,24,59
2017-01-22,13,28
2017-01-23,16,32
2017-01-24,9,9
2017-01-25,5,4
2017-01-26,6,4
2017-01-27,3,1
2017-01-28,2,1
2017-01-29,1,0
2017-01-30,1,1
2017-01-31,2,2
2017-02-01,3,2
2017-02-02,5,2
2017-02-03,9,5
2017-02-04,74,60
2017-02-05,67,73
2017-02-06,58,60
2017-02-07,37,58
2017-02-08,44,70
2017-02-09,46,68
2017-02-10,35,68
2017-02-11,59,101
2017-02-12,24,36
2017-02-13,42,68
2017-02-14,20,45
2017-02-15,37,66
2017-02-16,39,80
2017-02-17,38,82
2017-02-18,41,78
2017-02-19,37,76
2017-02-20,52,104
2017-02-21,25,49
2017-02-22,35,83
2017-02-23,35,104
2017-02-24,35,81
2017-02-25,34,80
2017-02-26,38,75
2017-02-27,38,89
2017-02-28,26,59
2017-03-01,33,74
2017-03-02,38,94
