Date,Price,Selling,Sold,Visit
2017-01-14,59851,62437,8048,13035
2017-01-14,59851,62437,8048,13035
2017-01-14,59851,62441,8048,13035
2017-01-14,59851,62441,8048,13035
2017-01-14,59851,62441,8048,13035
2017-01-14,59851,62460,8048,13035
2017-01-14,59851,62460,8048,13035
2017-01-14,59851,62460,8048,13035
2017-01-14,59851,62460,8048,13035
2017-01-14,59851,62576,8048,13035
2017-01-14,59851,62576,8048,13035
2017-01-14,59851,62576,8048,13035
2017-01-14,59851,62565,8048,13035
2017-01-15,59902,62461,7917,28124
2017-01-16,59905,62445,7942,25350
2017-01-16,59905,62665,7942,25350
2017-01-16,59905,62638,7942,25350
2017-01-17,59905,62635,7942,25350
2017-01-17,59911,62814,7835,5004
2017-01-18,59940,62769,7766,6471
2017-01-18,59940,62951,7766,6471
2017-01-19,59964,62901,7717,7800
2017-01-20,59964,63422,7717,7800
2017-01-21,59936,63364,7502,8994
2017-01-22,59936,61687,7502,8994
2017-01-23,60327,61796,7534,16729
2017-01-24,59857,63819,7540,10926
2017-01-25,59861,63756,7491,1876
2017-01-26,59839,63686,7444,1157
2017-01-27,59836,63636,7382,637
2017-01-28,59838,63587,7286,287
2017-01-29,59841,63554,7052,79
2017-01-30,59844,63532,6825,62
2017-01-31,59843,63508,6721,63
2017-02-01,59842,63468,6651,101
2017-02-02,59836,63390,6584,181
2017-02-03,59836,63374,6532,613
2017-02-04,59839,63686,6460,1310
2017-02-06,59857,64340,6209,5827
2017-02-07,59819,64685,6221,14363
2017-02-08,59835,65084,6189,6031
2017-02-09,59828,65712,6166,7343
2017-02-10,59841,66327,6118,6163
2017-02-11,59833,66687,5985,9468
2017-02-13,59824,66968,5953,24917
2017-02-14,59816,68088,5996,27168
2017-02-15,59783,67977,5952,5068
2017-02-16,59883,68403,5910,5966
2017-02-17,59857,68431,5921,9547
2017-02-18,59862,68594,5893,11349
2017-02-19,59874,68870,5764,10876
2017-02-20,59876,68944,5764,32978
2017-02-21,59857,70138,5864,32446
2017-02-22,59792,70415,5858,4325
2017-02-23,59800,71079,5847,6763
2017-02-24,59780,71266,5830,7376
2017-02-25,59737,71574,5804,10638
2017-02-26,59747,71633,5681,12750
2017-02-27,59750,72004,5676,33971
2017-02-28,59724,72445,5705,33414
2017-03-01,59735,73140,5718,6052
2017-03-02,59698,73697,5725,8561
2017-03-03,59673,74675,5730,10243
2017-03-04,59637,75064,5755,12168
